X,Y,FID,C_Date,C_Time,C_Day,County,RdwyID,MilePost,SSO_Lat,SSO_Long,P_TypeCD,P_Type,P_GenCD,P_Gender,P_Age,P_InjCD,P_Injury,P_LocCD,P_Locate,PreActCD,PrAction,ActCirCD,P_ActCir,SpctRxCD,SpctDrug
-9524133.774,3535000.629,1,3/2/2018 16:45,4:45 PM,5: Thr,Bay,46000000,0,30.244368,-85.556745,3,Bicyclist,1,Male,12,4,Serious (Incapacitating),5,Travel lane (other location),6,"In roadway, other (working, playing, etc)",77,Other,1,No
-8947458.543,2946111.685,2,1/25/2018 2:00,2:00 AM,4: Wed,Miami-Dade,87020000,11.641,25.5715459,-80.3763849,1,Pedestrian,1,Male,52,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,3,Failure to yield right-of-way,1,No
-8943842.462,2966030.505,3,3/7/2018 12:12,12:12 PM,3: Tue,Miami-Dade,87044000,2.635,25.7328436,-80.3439011,1,Pedestrian,2,Female,53,4,Serious (Incapacitating),4,Midblock (marked crosswalk),1,Crossing roadway,1,No improper action,1,No
-8943842.462,2966030.505,4,3/7/2018 12:12,12:12 PM,3: Tue,Miami-Dade,87044000,2.635,25.7328436,-80.3439011,1,Pedestrian,2,Female,55,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,1,No improper action,1,No
-9050812.453,3385656.445,5,1/2/2018 19:10,7:10 PM,2: Mon,Volusia,79090000,0.595,29.0786148,-81.3048285,1,Pedestrian,2,Female,34,4,Serious (Incapacitating),2,Intersection (unmarked crosswalk),1,Crossing roadway,3,Failure to yield right-of-way,1,No
-9020398.903,3410711.179,6,2/19/2018 15:00,3:00 PM,1: Sun,Volusia,79080000,5.399,29.2751279,-81.031619,1,Pedestrian,2,Female,52,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,1,No improper action,1,No
-9187795.291,3412567.559,7,1/14/2018 18:52,6:52 PM,7: Sat,Levy,34030000,11.568,29.2896732,-82.5353659,1,Pedestrian,1,Male,33,5,Fatal,5,Travel lane (other location),6,"In roadway, other (working, playing, etc)",2,Dart/dash,1,No
-9176249.799,3466385.898,8,3/2/2018 17:10,5:10 PM,5: Thr,Alachua,26000000,0,29.710452,-82.431651,3,Bicyclist,2,Female,15,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,3,Failure to yield right-of-way,1,No
-9142556.499,3539004.544,9,5/1/2018 22:35,10:35 PM,2: Mon,Baker,27000000,0,30.275435,-82.128979,1,Pedestrian,1,Male,1,5,Fatal,5,Travel lane (other location),1,Crossing roadway,2,Dart/dash,1,No
-8983768.431,3297011.182,10,1/26/2018 16:45,4:45 PM,5: Thr,Brevard,70000000,0,28.380335,-80.702562,4,Other cyclist,1,Male,60,4,Serious (Incapacitating),10,Driveway access,5,Walking/cycling on sidewalk,3,Failure to yield right-of-way,1,No
